,Wikipedia Movie ID,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
2367,1709435,2.97,10.5,1.2730000000000001,3.763,16.794999999999998,6.87,1.555,19.747
2368,3226895,0.0,0.0,0.258,0.094,3.2439999999999998,0.697,0.9530000000000001,0.0
2369,24582601,2.319,1.835,0.25,2.891,3.184,2.338,2.016,5.147
2370,2275930,2.763,1.562,4.557,7.057,3.122,2.0869999999999997,1.3359999999999999,1.2970000000000002
2371,1866289,19.1,10.493,11.009,31.305,11.818,18.292,8.061,16.221
2372,18917513,23.295,11.89,6.22,37.973,10.213,24.230999999999998,21.052,13.09
2373,17851597,4.305,5.765,2.118,7.38,10.247,7.749,4.885,10.564
2374,2184393,11.628,6.489,8.973,20.021,2.9299999999999997,13.892,3.0,9.071
2375,14992861,7.361,22.483,4.555,12.052,20.833,11.452,3.618,38.227000000000004
2376,5898351,9.01,8.884,3.989,12.993,14.509,6.6739999999999995,5.5,12.659
2377,18766380,4.531,9.804,2.7430000000000003,4.483,11.185,3.3810000000000002,4.233,14.003
2378,10651171,6.04,4.559,2.868,5.082,6.539,6.367,2.734,4.945
2379,1870643,12.281,11.636,5.985,17.833,13.207,8.866,3.404,23.62
2380,28909398,5.22,6.383,0.617,5.675,9.13,3.959,1.6800000000000002,10.92
2381,10117636,0.0,1.6720000000000002,0.0,0.031,6.31,0.016,0.8589999999999999,5.311
2382,10695156,0.011,2.664,0.109,0.0,7.29,0.156,1.352,6.297
2383,6945281,0.0,0.0,0.0,0.937,1.863,0.5,0.734,1.157
2384,33401569,10.8,18.498,4.57,20.871,16.913,13.351,2.343,30.656
2385,1549991,1.2530000000000001,8.155,0.0,1.188,13.339,2.783,0.9450000000000001,12.23
2386,26037408,1.735,2.203,1.46,1.995,2.445,1.719,1.304,0.523
2387,5429460,3.909,6.890000000000001,3.225,5.787,6.921,3.859,3.7969999999999997,8.221
2388,105394,2.322,0.968,2.0,2.705,2.308,2.223,1.203,1.9060000000000001
2389,9122163,5.175,13.047,1.657,3.898,20.179,3.003,3.4130000000000003,18.809
2390,33779377,1.093,2.1710000000000003,1.422,1.143,0.9450000000000001,0.422,1.704,0.641
2391,22486844,8.734,13.686,4.314,11.404,18.487000000000002,9.112,4.5,9.093
2392,678080,16.455,12.322000000000001,8.855,26.131,10.11,18.096,7.872999999999999,17.289
2393,5224,6.279,13.145,3.8280000000000003,8.638,12.100999999999999,11.155,2.367,13.421
2394,30125465,1.545,4.101,0.0,1.125,4.845,1.094,1.508,5.202999999999999
2395,30541355,0.0,0.0,0.0,0.0,0.828,0.0,0.0,0.758
2396,32712254,0.0,1.32,0.0,0.0,2.084,0.0,0.0,0.617
2397,27993395,0.529,3.375,0.133,0.595,2.934,0.016,0.688,2.5229999999999997
2398,31665157,0.08499999999999999,2.36,0.0,0.266,4.181,2.109,0.656,2.156
2399,14414565,4.948,10.372,3.2079999999999997,7.982,13.992,6.45,4.068,17.562
