TSNE1,TSNE2,Labels
-69.88942,8.164149,6
58.488766,93.88839,4
-35.441643,15.420269,0
-7.7768645,-69.5601,7
6.2787704,-40.38816,7
-21.993483,-5.41904,3
-36.84812,-5.246403,3
-61.91183,-21.766085,2
-71.990005,-41.731236,2
33.39822,23.412296,5
-5.6694956,-49.74658,7
-26.082775,34.881027,0
69.752014,18.587917,1
-11.165275,-42.493324,7
-45.724537,-36.67747,2
-50.840473,34.741875,0
42.856243,32.871918,4
-14.743766,20.817982,3
-0.54672694,18.58878,5
56.254894,52.793106,4
8.764846,-21.221134,5
70.381905,-24.170162,1
25.37096,-50.020622,9
-40.02346,35.665974,0
19.53589,23.69837,5
43.982944,77.82468,4
75.19444,-38.673824,1
54.167274,51.561222,4
-80.25211,-13.61806,6
-75.24873,-51.718227,2
-50.113518,-61.97317,2
38.936817,41.036705,4
-60.256435,-27.678259,2
-34.785995,-10.641407,3
31.79984,17.404348,5
-68.36138,-9.410094,6
51.277863,10.549148,5
83.08312,45.147373,4
39.824284,60.775387,4
-5.1878767,39.410545,8
39.13282,55.29746,4
3.6191938,1.760142,5
-97.01883,-25.4822,6
-50.779236,-11.421307,3
-40.70649,-53.3044,2
10.659018,72.62638,8
71.837166,26.737883,4
-25.581944,-75.19128,7
-28.393412,22.863148,0
-35.472782,-13.583387,3
82.60682,42.927807,4
-56.64919,-28.714128,2
-29.124954,22.04108,0
2.305062,-36.554226,7
72.00733,16.785875,1
83.5583,-15.589942,1
69.05826,-27.810928,1
48.680305,-10.445103,1
22.747671,59.161156,8
-59.55462,-41.23462,2
43.614628,57.65588,4
69.877174,27.043228,4
51.02873,-65.33292,9
60.76234,36.790886,4
40.37382,-23.774422,9
-65.55082,38.592777,0
-41.968624,21.919367,0
-91.85501,-25.342327,2
-41.825806,-61.14099,2
-45.051888,-20.862503,2
32.30158,69.43857,8
-44.85881,-15.141168,3
-54.514427,22.962828,0
-27.07633,-34.823376,7
-49.024567,19.719954,0
25.482422,-2.8540478,5
-13.908398,-38.896744,7
45.26862,54.719032,4
-0.950932,35.52687,8
50.938507,25.17459,4
64.09922,-34.773174,9
-46.922726,2.5125632,3
-3.8895905,-13.265835,3
49.961143,-13.90391,1
12.554538,-82.84215,7
-42.72314,-35.57122,2
-43.45926,2.3162231,3
-78.11149,-14.308519,6
89.79296,10.115701,1
-72.260864,12.305316,6
-13.904588,-7.9957824,3
50.15977,-11.602179,1
-69.87594,-26.285725,2
59.32849,50.621075,4
-47.50399,-33.18449,2
-36.976635,-58.445446,7
11.93852,52.193333,8
81.76242,53.727795,4
-50.13533,24.448343,0
72.184525,13.545558,1
49.269356,37.06758,4
-41.964886,-42.27632,2
-50.977207,-11.240045,3
66.25072,-43.043026,9
-10.89213,22.160913,3
-48.047787,-4.8357573,3
82.433685,25.035843,4
21.357262,27.962772,5
40.133442,68.480225,4
81.158775,46.61094,4
22.191277,-47.996075,9
-21.304077,-64.81952,7
64.44428,44.054058,4
-14.325984,70.05556,8
16.09894,-34.20763,9
-15.574106,-25.496983,3
18.909664,-13.566534,5
-39.13424,13.178341,0
34.084526,77.693985,8
54.209515,-78.67093,9
15.04935,-23.788074,9
-58.630398,-12.240362,6
22.896456,27.168575,5
-1.7100972,49.111874,8
54.789223,-14.555201,1
-25.876408,6.4968696,3
-27.357418,-6.5261083,3
-28.304813,35.560566,0
9.543486,9.654373,5
-51.634876,12.727971,0
30.156069,2.7723446,5
59.00605,26.139692,4
-9.674174,60.007076,8
53.332245,-13.253031,1
-56.536777,-22.201189,2
24.451004,-1.4346985,5
42.193127,-20.616936,9
-71.32312,-21.882948,2
-3.1233318,29.944473,8
-12.603624,12.682158,3
42.63855,-54.416885,9
-49.57974,-32.374844,2
71.461136,11.022696,1
-38.684628,53.412163,0
11.576602,31.165195,8
6.9092946,-35.115833,7
16.257301,63.7098,8
-26.188374,-40.860588,7
-32.50774,12.35245,3
-36.855362,-43.660664,2
-91.06695,-34.385185,2
48.43367,-50.727776,9
30.250397,-25.192024,9
71.49244,9.084638,1
-20.98257,-16.562174,3
27.504162,-25.308176,9
49.947247,-6.45454,1
57.10118,51.08317,4
-21.086031,30.71927,0
55.348278,17.993656,4
-6.2247214,-1.2178639,3
67.83388,-27.65894,1
-62.71747,-57.5174,2
29.811504,-14.195555,5
-23.768925,37.35484,0
16.907902,79.38595,8
6.796288,-38.864716,7
-30.460075,-31.328577,3
9.780265,55.189487,8
-55.87489,-36.84141,2
36.22856,37.787697,4
-78.2278,17.549728,6
14.710631,6.952228,5
-30.914679,-47.22086,7
51.844337,-52.076653,9
-69.77296,41.504234,0
5.5709124,23.508532,5
-51.420914,-32.047363,2
-53.557796,50.981907,0
29.633406,8.235814,5
-24.568922,42.93403,0
-75.60645,0.014786455,6
28.032055,-55.64192,9
-11.835636,20.579464,3
24.347218,63.63649,8
91.29489,-31.013144,1
26.694698,-38.550247,9
89.98746,37.350273,4
31.366488,-57.67013,9
60.463615,-49.07289,9
-59.91831,-36.787563,2
-30.812553,-16.900972,3
93.70008,-16.452093,1
9.451907,7.246934,5
-2.276116,-64.41389,7
87.23753,-6.006139,1
-43.515697,6.284715,3
-69.40625,-17.641266,2
-39.373425,-1.0237365,3
-75.20737,-19.468992,2
-32.05843,-22.118492,3
16.540785,27.630457,5
